Category: All categories

Region,abuse: (2019)
Iowa,100
Pennsylvania,97
Vermont,90
Oregon,83
Kentucky,81
West Virginia,81
Maine,79
Missouri,79
District of Columbia,76
Oklahoma,76
Maryland,76
Delaware,76
Alaska,76
North Dakota,75
Nebraska,75
Tennessee,75
Kansas,75
Utah,74
Massachusetts,74
Arizona,74
New Mexico,73
Alabama,72
Ohio,72
South Dakota,72
Connecticut,72
Minnesota,72
Louisiana,72
Arkansas,71
Indiana,71
Virginia,71
Montana,70
Rhode Island,70
Michigan,70
Wyoming,70
North Carolina,70
Illinois,69
New York,69
Colorado,68
Mississippi,67
Wisconsin,67
New Jersey,67
Nevada,66
New Hampshire,66
Washington,65
Florida,64
California,63
Texas,63
South Carolina,62
Idaho,62
Georgia,60
Hawaii,59
