Category: All categories

Region,academic stress: (2010)
South Dakota,
North Dakota,
West Virginia,
New Hampshire,
Rhode Island,
Iowa,
Maryland,
South Carolina,
Tennessee,
Minnesota,100
District of Columbia,
Colorado,
North Carolina,75
New York,50
Washington,50
Texas,50
Illinois,50
Pennsylvania,50
New Jersey,25
Ohio,25
Florida,25
California,25
Virginia,
Alaska,
Alabama,
Arkansas,
Arizona,
Connecticut,
Delaware,
Georgia,
Hawaii,
Idaho,
Indiana,
Kansas,
Kentucky,
Louisiana,
Massachusetts,
Maine,
Michigan,
Missouri,
Mississippi,
Montana,
Nebraska,
New Mexico,
Nevada,
Oklahoma,
Oregon,
Utah,
Vermont,
Wisconsin,
Wyoming,
