Category: All categories

Region,advil: (2014)
New Jersey,100
Vermont,95
Connecticut,89
Delaware,83
New York,82
Pennsylvania,80
Rhode Island,79
New Hampshire,78
Massachusetts,76
Florida,73
District of Columbia,72
California,70
Hawaii,70
Maryland,66
Illinois,65
Oklahoma,62
Maine,61
Mississippi,60
Louisiana,60
Colorado,59
Texas,59
West Virginia,58
Nevada,58
Ohio,55
Alaska,55
Alabama,55
Minnesota,55
South Carolina,54
Indiana,53
Washington,53
Kentucky,53
Tennessee,52
Wisconsin,51
Arizona,51
North Dakota,51
Missouri,50
Georgia,50
North Carolina,49
South Dakota,48
Montana,48
Kansas,46
Michigan,46
Nebraska,46
Virginia,46
Arkansas,44
Idaho,44
Utah,40
Iowa,40
Wyoming,40
New Mexico,39
Oregon,35
