Category: All categories

Region,alcohol: (2021)
New Mexico,100
Nebraska,90
Alaska,90
Indiana,87
Minnesota,87
Washington,86
North Dakota,85
Nevada,84
Pennsylvania,83
Montana,83
Rhode Island,82
Connecticut,81
Kentucky,81
Texas,81
Utah,81
Oregon,81
Iowa,80
New Hampshire,80
Kansas,80
Arkansas,80
Hawaii,80
Ohio,80
Idaho,80
Massachusetts,79
Wisconsin,79
North Carolina,79
Maine,79
Maryland,78
South Dakota,78
Arizona,78
West Virginia,78
Georgia,77
Virginia,77
Colorado,77
California,77
Florida,76
Louisiana,76
Vermont,76
Illinois,75
Missouri,74
District of Columbia,74
New Jersey,74
South Carolina,74
Michigan,74
Alabama,73
Tennessee,72
Oklahoma,72
Wyoming,70
Delaware,68
New York,66
Mississippi,64
