Category: All categories

Region,angry father: (2015)
Alaska,
Montana,
Arkansas,
New Hampshire,
Idaho,
New Jersey,100
Colorado,
Missouri,
New Mexico,
Hawaii,
Maryland,
Michigan,66
Indiana,
Connecticut,
West Virginia,
Pennsylvania,66
Ohio,66
Maine,
Nebraska,
Nevada,
Louisiana,
Arizona,
Tennessee,
Alabama,50
Massachusetts,
Minnesota,
Oregon,
Virginia,
Illinois,50
New York,50
District of Columbia,
Florida,50
Georgia,33
Kentucky,
Texas,33
California,33
South Carolina,
Wisconsin,
Utah,
North Carolina,16
Delaware,
Iowa,
Kansas,
Mississippi,
North Dakota,
Oklahoma,
Rhode Island,
South Dakota,
Vermont,
Washington,
Wyoming,
