Category: All categories

Region,anorexia: (2004)
South Dakota,100
Wyoming,87
Maine,79
New Hampshire,72
Mississippi,68
Iowa,66
Nebraska,66
Indiana,64
Kentucky,62
Wisconsin,60
Connecticut,60
Utah,58
Alaska,57
Rhode Island,56
Minnesota,55
Pennsylvania,52
Louisiana,52
Michigan,52
Idaho,51
Ohio,51
North Carolina,50
Oregon,49
Massachusetts,49
Washington,48
Missouri,46
New York,45
Kansas,44
South Carolina,44
New Jersey,44
Arkansas,44
New Mexico,44
Maryland,43
North Dakota,41
Nevada,41
Illinois,40
Texas,38
Oklahoma,38
Hawaii,38
West Virginia,38
Tennessee,37
Colorado,37
Virginia,36
Alabama,35
California,35
Florida,34
Georgia,34
District of Columbia,33
Vermont,33
Arizona,32
Montana,18
Delaware,16
