Category: All categories

Region,antidepressants: (2015)
Montana,100
Idaho,96
Vermont,91
Arkansas,91
Nebraska,88
Kentucky,88
West Virginia,88
Indiana,85
Utah,84
North Dakota,83
Oklahoma,82
Tennessee,80
Iowa,80
Wisconsin,80
Maine,80
Minnesota,78
Ohio,78
Mississippi,77
South Dakota,77
New Hampshire,77
Louisiana,76
Washington,76
Rhode Island,76
Wyoming,76
Colorado,75
Alabama,74
Missouri,73
Michigan,72
Alaska,72
Maryland,72
Delaware,71
Massachusetts,71
Connecticut,70
Pennsylvania,70
North Carolina,70
South Carolina,67
Kansas,66
New Mexico,65
Nevada,63
Arizona,63
District of Columbia,63
New Jersey,62
Illinois,62
Georgia,59
Florida,59
Oregon,58
New York,56
California,56
Hawaii,54
Texas,51
Virginia,43
