Category: All categories

Region,anxiety: (2018)
Kentucky,100
West Virginia,99
Utah,97
Maine,93
Minnesota,92
Indiana,92
Rhode Island,91
Connecticut,90
Ohio,90
New Hampshire,89
Michigan,88
Oregon,87
Wisconsin,87
Illinois,87
Tennessee,87
Pennsylvania,86
Massachusetts,86
Missouri,86
Kansas,85
Arkansas,85
Oklahoma,85
New Jersey,84
Arizona,84
Vermont,84
Iowa,84
Virginia,83
Idaho,82
Maryland,82
Washington,81
Alabama,81
New York,81
Georgia,81
Louisiana,80
Nebraska,80
North Dakota,80
Mississippi,79
North Carolina,79
New Mexico,78
Colorado,78
South Carolina,76
Nevada,76
South Dakota,75
Florida,75
California,75
Alaska,73
Wyoming,71
Delaware,70
Montana,70
Texas,70
Hawaii,61
District of Columbia,58
