Category: All categories

Region,bipolar: (2013)
Delaware,100
West Virginia,99
Pennsylvania,99
Mississippi,93
Montana,91
New Hampshire,91
Missouri,90
Massachusetts,90
Idaho,89
Tennessee,89
Ohio,89
Maine,88
North Carolina,88
New Jersey,88
Maryland,88
Arkansas,86
Nebraska,85
Michigan,85
Arizona,83
Alabama,83
Virginia,82
Illinois,82
Wyoming,82
Rhode Island,82
Vermont,82
Florida,81
New York,81
Connecticut,81
Kentucky,81
Georgia,80
Washington,80
Indiana,80
Colorado,80
Kansas,80
South Dakota,80
Texas,79
South Carolina,79
Oklahoma,79
New Mexico,79
Iowa,78
Louisiana,78
Minnesota,77
Utah,77
California,77
Alaska,76
Wisconsin,74
Nevada,73
North Dakota,73
Oregon,73
District of Columbia,70
Hawaii,70
