Category: All categories

Region,breakup: (2005)
Mississippi,100
South Dakota,96
Rhode Island,70
Montana,64
Hawaii,63
Idaho,62
Oklahoma,62
Louisiana,57
Maryland,56
Illinois,56
Pennsylvania,56
Ohio,55
Indiana,54
Connecticut,53
Delaware,53
South Carolina,52
New York,52
Nebraska,52
Iowa,51
Wisconsin,49
Kentucky,48
New Jersey,48
Nevada,47
Michigan,47
District of Columbia,46
North Carolina,46
Virginia,46
Washington,45
Tennessee,45
Massachusetts,45
Minnesota,45
Georgia,44
Florida,43
New Hampshire,42
California,42
Arizona,41
Texas,41
Kansas,41
Missouri,40
Colorado,40
Alabama,39
Oregon,39
Arkansas,39
Utah,39
Alaska,32
Maine,31
Vermont,26
New Mexico,25
West Virginia,21
Wyoming,21
North Dakota,
