Category: All categories

Region,bulemia: (2009)
Maine,
West Virginia,
South Dakota,
Alabama,100
Wyoming,
Rhode Island,
Kansas,86
Arkansas,
Iowa,75
Kentucky,73
Ohio,73
Alaska,
Massachusetts,68
North Dakota,
Connecticut,66
Idaho,
Nevada,
New Hampshire,
Colorado,60
Indiana,57
Tennessee,57
Michigan,57
Pennsylvania,55
Utah,53
Minnesota,53
New York,51
Georgia,51
California,51
Mississippi,
New Jersey,48
Virginia,46
South Carolina,46
Texas,46
Illinois,44
Washington,44
New Mexico,
Oklahoma,44
North Carolina,42
Maryland,42
Arizona,42
Nebraska,
Missouri,35
Wisconsin,31
Louisiana,28
Florida,28
Oregon,15
District of Columbia,
Delaware,
Hawaii,
Montana,
Vermont,
