Category: All categories

Region,carbon monoxide poisoning: (2017)
Alaska,100
Vermont,85
Maine,82
Wyoming,82
South Dakota,81
New Hampshire,79
Rhode Island,79
West Virginia,74
Montana,73
Iowa,68
Michigan,68
North Dakota,64
Missouri,63
Nebraska,63
Utah,63
New Mexico,62
Minnesota,61
Indiana,59
Delaware,58
Colorado,57
Idaho,57
Ohio,57
Pennsylvania,56
Massachusetts,54
Wisconsin,53
Arkansas,53
Kansas,52
Oklahoma,51
Alabama,48
Kentucky,47
North Carolina,46
Washington,46
Connecticut,46
Illinois,46
Maryland,45
Georgia,43
New Jersey,42
New York,42
Tennessee,40
Virginia,40
Florida,40
South Carolina,40
Oregon,39
District of Columbia,38
Nevada,37
Arizona,36
Mississippi,36
Texas,36
Louisiana,34
California,32
Hawaii,17
