Category: All categories

Region,child abuse: (2013)
Pennsylvania,100
Arkansas,94
Iowa,87
West Virginia,86
South Dakota,86
Delaware,85
Wyoming,82
New Mexico,81
Nebraska,79
Kentucky,76
North Dakota,74
Vermont,70
Oklahoma,70
Mississippi,64
Missouri,63
Idaho,63
Kansas,62
Indiana,62
Hawaii,60
New Hampshire,60
Wisconsin,59
South Carolina,59
Montana,58
Alabama,58
Tennessee,57
Maine,56
Utah,55
Alaska,54
North Carolina,54
Arizona,54
Maryland,53
Colorado,52
California,51
Florida,51
Louisiana,48
Ohio,48
New York,48
District of Columbia,48
Texas,48
Rhode Island,48
Michigan,47
Minnesota,46
Illinois,46
Virginia,46
Nevada,45
Oregon,45
Connecticut,44
New Jersey,43
Washington,42
Georgia,41
Massachusetts,34
