Category: All categories

Region,cigarettes: (2019)
West Virginia,100
Kentucky,92
Indiana,89
Illinois,88
Delaware,84
Pennsylvania,82
Louisiana,82
Ohio,82
Oregon,82
Missouri,81
Vermont,81
Rhode Island,79
Nevada,79
New Hampshire,79
Tennessee,79
North Carolina,78
Oklahoma,77
Arkansas,77
Maine,76
North Dakota,76
Alabama,75
South Dakota,74
Virginia,74
Wisconsin,74
Texas,73
Michigan,72
New York,71
Massachusetts,71
South Carolina,70
Arizona,70
Minnesota,70
New Mexico,69
Maryland,69
Idaho,69
Wyoming,68
Kansas,68
Montana,68
Mississippi,67
Colorado,67
New Jersey,67
Florida,66
Connecticut,65
Washington,65
Alaska,65
Iowa,65
Georgia,64
Nebraska,63
California,63
District of Columbia,63
Hawaii,62
Utah,50
