Category: All categories

Region,coming out: (2017)
Utah,100
Kentucky,94
Indiana,93
West Virginia,92
Mississippi,90
Iowa,89
Georgia,89
Louisiana,88
Missouri,88
Oklahoma,87
Alabama,86
Texas,86
Michigan,85
Arkansas,85
Arizona,85
Pennsylvania,85
North Carolina,84
Nevada,84
Connecticut,83
South Carolina,83
Illinois,82
Rhode Island,81
North Dakota,81
California,81
Ohio,80
Idaho,80
New Jersey,79
Tennessee,79
Florida,79
Delaware,79
Maine,78
Montana,78
Minnesota,78
Wyoming,78
Wisconsin,77
New York,77
Virginia,76
South Dakota,76
New Hampshire,76
Maryland,75
Nebraska,75
Alaska,74
Massachusetts,74
New Mexico,72
Vermont,70
Colorado,70
Washington,69
Hawaii,69
Kansas,66
Oregon,66
District of Columbia,65
