Category: All categories

Region,common ways to die: (2010)
Arkansas,
Maine,
Idaho,
New Hampshire,
Tennessee,
Minnesota,
Arizona,
Wisconsin,
Massachusetts,
Georgia,
New York,
New Jersey,
Virginia,
California,
Alaska,
Alabama,
Colorado,
Connecticut,
District of Columbia,
Delaware,
Florida,
Hawaii,
Iowa,
Illinois,
Indiana,
Kansas,
Kentucky,
Louisiana,
Maryland,
Michigan,
Missouri,
Mississippi,
Montana,
North Carolina,
North Dakota,
Nebraska,
New Mexico,
Nevada,
Ohio,
Oklahoma,
Oregon,
Pennsylvania,
Rhode Island,
South Carolina,
South Dakota,
Texas,
Utah,
Vermont,
Washington,
West Virginia,
Wyoming,
