Category: All categories

Region,conversion therapy: (2006)
Delaware,100
Wyoming,52
Idaho,41
Mississippi,32
Nebraska,30
West Virginia,27
Maine,20
New Mexico,19
Kentucky,19
Indiana,17
Iowa,17
Minnesota,3
Pennsylvania,2
New York,1
California,1
Alaska,
Alabama,
Arkansas,
Arizona,
Colorado,
Connecticut,
District of Columbia,
Florida,
Georgia,
Hawaii,
Illinois,
Kansas,
Louisiana,
Massachusetts,
Maryland,
Michigan,
Missouri,
Montana,
North Carolina,
North Dakota,
New Hampshire,
New Jersey,
Nevada,
Ohio,
Oklahoma,
Oregon,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Texas,
Utah,
Virginia,
Vermont,
Washington,
Wisconsin,
