Category: All categories

Region,crazy ex: (2006)
Montana,100
Alaska,93
Hawaii,51
Vermont,47
Maine,45
Kansas,36
South Carolina,25
Nevada,24
Arizona,19
Missouri,15
Ohio,13
North Carolina,10
Virginia,10
Minnesota,9
Pennsylvania,9
Texas,8
Indiana,8
Massachusetts,7
Illinois,7
Georgia,6
Florida,6
California,4
New York,2
Alabama,
Arkansas,
Colorado,
Connecticut,
District of Columbia,
Delaware,
Iowa,
Idaho,
Kentucky,
Louisiana,
Maryland,
Michigan,
Mississippi,
North Dakota,
Nebraska,
New Hampshire,
New Jersey,
New Mexico,
Oklahoma,
Oregon,
Rhode Island,
South Dakota,
Tennessee,
Utah,
Washington,
Wisconsin,
West Virginia,
Wyoming,
