Category: All categories

Region,depression: (2021)
West Virginia,100
Mississippi,94
Utah,92
Tennessee,90
Arizona,89
Oklahoma,88
Kentucky,87
Ohio,87
Kansas,86
Louisiana,85
North Carolina,84
Virginia,84
Alabama,83
Washington,83
Maryland,83
Arkansas,82
Connecticut,82
Missouri,81
Vermont,81
Idaho,80
North Dakota,80
Michigan,80
Minnesota,80
New Mexico,80
Pennsylvania,80
Iowa,79
California,79
Florida,79
Georgia,78
New Jersey,77
Texas,77
Massachusetts,77
Indiana,77
Alaska,77
Illinois,76
Wyoming,76
South Dakota,76
Nebraska,76
Wisconsin,75
Colorado,74
Oregon,74
Maine,74
New Hampshire,73
Delaware,72
Montana,71
Nevada,71
South Carolina,69
Rhode Island,68
New York,67
District of Columbia,66
Hawaii,63
