Category: All categories

Region,disappointment: (2011)
Washington,100
Oregon,83
Idaho,61
Kentucky,57
Rhode Island,52
West Virginia,52
Wyoming,52
Nevada,51
South Carolina,50
New Hampshire,50
Alabama,50
Montana,49
New Jersey,49
Arkansas,48
Tennessee,47
North Carolina,47
Ohio,47
Maryland,47
Indiana,46
Pennsylvania,46
Michigan,46
Oklahoma,45
Utah,44
Virginia,44
Missouri,43
Hawaii,43
Florida,43
Kansas,42
New York,42
Minnesota,41
Georgia,41
Arizona,41
Wisconsin,41
North Dakota,40
Colorado,40
Vermont,40
Iowa,40
Massachusetts,40
Mississippi,39
Texas,39
Delaware,39
Illinois,38
Louisiana,38
California,37
Connecticut,35
District of Columbia,33
New Mexico,32
South Dakota,32
Nebraska,31
Alaska,28
Maine,24
