Category: All categories

Region,drug policy: (2020)
District of Columbia,100
Oklahoma,63
Maryland,48
Oregon,46
Idaho,45
South Dakota,
Louisiana,42
Colorado,42
Indiana,42
West Virginia,41
Wyoming,
Montana,
Arizona,40
Delaware,
Virginia,38
Illinois,38
Minnesota,38
Vermont,
North Carolina,37
Ohio,37
Iowa,37
Rhode Island,37
Nebraska,37
Kentucky,36
Pennsylvania,36
Arkansas,36
Massachusetts,36
Connecticut,36
Nevada,36
Washington,35
South Carolina,35
Alabama,35
New Mexico,33
Alaska,
Maine,33
Missouri,32
Texas,32
New Jersey,32
Utah,32
Michigan,31
Tennessee,31
New York,31
Georgia,31
Florida,30
California,28
Hawaii,
Mississippi,28
Wisconsin,26
North Dakota,
Kansas,25
New Hampshire,23
