Category: All categories

Region,drugs: (2008)
Hawaii,100
West Virginia,96
Washington,87
Arkansas,84
Delaware,83
Vermont,82
Mississippi,80
Alabama,78
South Dakota,78
Kentucky,77
Wyoming,77
North Dakota,75
Louisiana,74
Pennsylvania,73
Florida,73
Michigan,73
Maine,72
South Carolina,71
Idaho,71
Georgia,71
North Carolina,71
Ohio,70
Rhode Island,70
Indiana,70
New Hampshire,70
Maryland,69
Nevada,69
Illinois,68
Montana,68
Tennessee,68
Kansas,67
New Jersey,67
New Mexico,67
Iowa,66
Missouri,66
California,65
Arizona,65
Nebraska,65
Oklahoma,64
Utah,64
New York,64
Alaska,62
Minnesota,62
Texas,61
Connecticut,61
Massachusetts,61
Wisconsin,59
Colorado,59
Oregon,56
District of Columbia,52
Virginia,47
