Category: All categories

Region,exboyfriend: (2021)
Alaska,
South Dakota,
Wyoming,
Rhode Island,
Minnesota,100
Arkansas,
North Carolina,80
Indiana,80
Connecticut,80
Arizona,80
Massachusetts,80
California,80
Nevada,80
Oregon,80
Illinois,60
New Mexico,
Michigan,60
Tennessee,60
Florida,60
Maryland,60
New Hampshire,
New York,60
Missouri,60
South Carolina,60
Georgia,40
Texas,40
Washington,40
Oklahoma,40
Virginia,40
Ohio,40
Utah,
New Jersey,40
Kansas,
Wisconsin,40
Colorado,40
Nebraska,
Iowa,40
Louisiana,20
Pennsylvania,20
Alabama,<1
District of Columbia,
Delaware,
Hawaii,
Idaho,
Kentucky,
Maine,
Mississippi,
Montana,
North Dakota,
Vermont,
West Virginia,
