Category: All categories

Region,exgirlfriend: (2005)
Montana,100
West Virginia,89
Alaska,
Hawaii,42
Colorado,25
Arkansas,23
Kansas,23
Pennsylvania,21
Indiana,21
Ohio,20
Oklahoma,20
Washington,18
Oregon,18
Tennessee,17
Florida,16
New York,15
Nevada,15
North Carolina,15
Virginia,15
Georgia,14
New Jersey,14
Connecticut,13
Michigan,13
Arizona,12
Utah,12
Illinois,12
Texas,11
Wisconsin,11
Massachusetts,10
California,9
Minnesota,8
Missouri,8
Maryland,5
Alabama,
District of Columbia,
Delaware,
Iowa,
Idaho,
Kentucky,
Louisiana,
Maine,
Mississippi,
North Dakota,
Nebraska,
New Hampshire,
New Mexico,
Rhode Island,
South Carolina,
South Dakota,
Vermont,
Wyoming,
