Category: All categories

Region,existential crisis: (2007)
Maine,100
West Virginia,69
Nebraska,62
South Dakota,
Iowa,34
Kansas,27
District of Columbia,23
Arkansas,23
Virginia,14
New Jersey,11
Ohio,10
Missouri,10
Oregon,8
Florida,5
Illinois,4
New York,4
Pennsylvania,4
California,4
Alaska,
Alabama,
Arizona,
Colorado,
Connecticut,
Delaware,
Georgia,
Hawaii,
Idaho,
Indiana,
Kentucky,
Louisiana,
Massachusetts,
Maryland,
Michigan,
Minnesota,
Mississippi,
Montana,
North Carolina,
North Dakota,
New Hampshire,
New Mexico,
Nevada,
Oklahoma,
Rhode Island,
South Carolina,
Tennessee,
Texas,
Utah,
Vermont,
Washington,
Wisconsin,
Wyoming,
