Category: All categories

Region,failure: (2018)
Tennessee,100
Arkansas,96
Virginia,94
Kentucky,94
Missouri,94
Oklahoma,92
Michigan,92
Pennsylvania,91
Alabama,91
Ohio,91
North Carolina,89
Mississippi,89
Connecticut,88
Kansas,88
North Dakota,87
Indiana,87
Georgia,87
Utah,87
West Virginia,86
Washington,86
Illinois,86
New Jersey,86
Alaska,85
Wisconsin,85
Maryland,85
South Dakota,85
Vermont,85
South Carolina,85
Minnesota,85
New York,85
Oregon,84
Texas,84
Arizona,83
Florida,83
Massachusetts,83
Louisiana,82
Delaware,82
Iowa,82
New Mexico,82
Montana,81
Maine,81
District of Columbia,80
New Hampshire,80
Idaho,79
Wyoming,79
Colorado,75
Nebraska,74
California,74
Rhode Island,71
Nevada,69
Hawaii,67
