Category: All categories

Region,faith: (2009)
Mississippi,100
Alabama,96
South Dakota,91
West Virginia,88
Georgia,88
Tennessee,87
North Carolina,86
Arkansas,86
Nebraska,86
Oklahoma,85
North Dakota,84
Iowa,81
South Carolina,81
Missouri,81
Louisiana,78
Kansas,78
Texas,77
Kentucky,76
Montana,75
Indiana,75
Minnesota,73
Colorado,72
Wisconsin,72
Michigan,72
Ohio,71
Florida,71
Wyoming,70
Utah,70
Delaware,68
Alaska,68
Pennsylvania,68
District of Columbia,68
Nevada,68
Maryland,67
Washington,66
Illinois,66
Idaho,66
Vermont,65
New Mexico,64
New Jersey,62
Arizona,60
New Hampshire,60
Oregon,59
New York,58
Connecticut,57
Hawaii,55
Rhode Island,54
Massachusetts,53
Maine,53
California,46
Virginia,45
