Category: All categories

Region,family stress: (2018)
South Dakota,
Vermont,
New Mexico,100
Kentucky,100
West Virginia,94
Mississippi,89
Arkansas,89
Missouri,84
Oklahoma,84
District of Columbia,
North Carolina,78
Delaware,
Nevada,78
Michigan,78
Utah,78
Maine,
Indiana,73
Virginia,73
North Dakota,
Arizona,73
Louisiana,68
New Jersey,68
Maryland,68
Wisconsin,68
Idaho,68
Oregon,68
Ohio,68
Illinois,63
Florida,63
Pennsylvania,63
Connecticut,63
California,63
Massachusetts,63
Iowa,57
New York,57
South Carolina,57
Colorado,57
Texas,57
Kansas,57
Tennessee,57
Washington,52
Nebraska,52
Georgia,47
Minnesota,47
Alabama,47
Alaska,
Hawaii,
Montana,
New Hampshire,
Rhode Island,
Wyoming,
