Category: All categories

Region,fast death: (2019)
Vermont,
North Dakota,
South Dakota,
New Hampshire,100
West Virginia,
Arizona,82
Mississippi,82
Nevada,78
Michigan,75
Alabama,75
Utah,75
Missouri,75
Minnesota,71
Kansas,71
Iowa,71
Oklahoma,71
Alaska,
Ohio,67
Arkansas,67
Maine,
South Carolina,67
Montana,
Colorado,67
Kentucky,67
Indiana,67
Virginia,67
Oregon,67
Georgia,64
Delaware,
North Carolina,64
Rhode Island,
Tennessee,64
Texas,64
Louisiana,64
California,64
New Mexico,60
Wisconsin,60
Connecticut,60
Maryland,60
Pennsylvania,60
Florida,60
New Jersey,60
Nebraska,57
Idaho,57
Washington,57
Illinois,53
Massachusetts,53
Wyoming,
New York,46
Hawaii,
District of Columbia,
