Category: All categories

Region,feeling alone: (2012)
West Virginia,100
Nebraska,98
Oklahoma,94
Kansas,92
Iowa,92
Alabama,90
Pennsylvania,89
Illinois,85
Kentucky,84
Nevada,84
Michigan,82
Arkansas,80
New Jersey,80
South Carolina,77
Wisconsin,76
Indiana,73
Texas,72
Utah,68
Connecticut,67
Arizona,67
Virginia,66
North Carolina,66
Maryland,63
Louisiana,62
New York,62
Florida,61
Tennessee,60
California,59
Massachusetts,57
Georgia,56
Washington,53
Minnesota,53
Missouri,53
Ohio,52
Colorado,46
Oregon,40
Wyoming,
Idaho,
Maine,
Alaska,
Rhode Island,
Hawaii,
North Dakota,
New Hampshire,
Vermont,
Montana,
District of Columbia,
New Mexico,
South Dakota,
Delaware,
Mississippi,
