Category: All categories

Region,feeling sad: (2012)
Iowa,100
Utah,97
Hawaii,96
Indiana,94
Kansas,89
Mississippi,88
New Mexico,83
California,76
Pennsylvania,72
Connecticut,72
Nebraska,72
Arizona,71
Maryland,71
Texas,69
Washington,67
Illinois,67
Kentucky,67
Florida,66
Massachusetts,66
New York,65
Michigan,65
Oklahoma,64
Colorado,64
Louisiana,62
New Jersey,59
District of Columbia,58
Virginia,57
Arkansas,56
Tennessee,55
Idaho,55
Georgia,55
Ohio,54
Nevada,54
Alabama,53
Wisconsin,52
North Carolina,50
Minnesota,48
Missouri,48
Oregon,42
South Carolina,19
North Dakota,
Vermont,
South Dakota,
New Hampshire,
Delaware,
Alaska,
West Virginia,
Maine,
Rhode Island,
Montana,
Wyoming,
