Category: All categories

Region,firearms: (2014)
Wyoming,100
Alaska,87
Montana,86
Maine,83
Kentucky,76
Indiana,74
New Hampshire,73
Idaho,71
Arkansas,71
Oklahoma,71
Tennessee,70
West Virginia,70
North Dakota,66
South Dakota,64
Texas,61
New Mexico,60
Nevada,60
Vermont,60
Ohio,60
Mississippi,60
Alabama,58
Missouri,58
Louisiana,57
Arizona,56
Iowa,55
Massachusetts,54
North Carolina,52
Nebraska,51
Washington,50
South Carolina,48
Pennsylvania,48
Utah,48
Colorado,47
Kansas,45
Michigan,45
Wisconsin,44
Rhode Island,44
Georgia,44
Florida,44
District of Columbia,43
Delaware,41
Illinois,41
Hawaii,38
Connecticut,37
Virginia,37
Minnesota,36
Oregon,35
California,33
Maryland,31
New York,24
New Jersey,23
