Category: All categories

Region,friends hate me: (2008)
Delaware,
Vermont,
Alaska,
Kansas,
Washington,100
Nevada,
Utah,
New York,30
Pennsylvania,30
Massachusetts,20
Ohio,20
Missouri,20
New Jersey,10
California,10
Florida,10
Texas,<1
Alabama,
Arkansas,
Arizona,
Colorado,
Connecticut,
District of Columbia,
Georgia,
Hawaii,
Iowa,
Idaho,
Illinois,
Indiana,
Kentucky,
Louisiana,
Maryland,
Maine,
Michigan,
Minnesota,
Mississippi,
Montana,
North Carolina,
North Dakota,
Nebraska,
New Hampshire,
New Mexico,
Oklahoma,
Oregon,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Virginia,
Wisconsin,
West Virginia,
Wyoming,
