Category: All categories

Region,gay: (2021)
District of Columbia,100
Nevada,84
West Virginia,82
California,81
Rhode Island,81
Massachusetts,78
Louisiana,77
Mississippi,77
Maine,77
Florida,77
New Mexico,76
Hawaii,76
Delaware,75
Kentucky,74
Missouri,73
Indiana,73
New Jersey,72
North Carolina,72
Tennessee,71
Alabama,71
Illinois,71
Ohio,71
Texas,70
Arkansas,70
Oklahoma,70
Maryland,70
South Carolina,70
Arizona,70
Connecticut,69
Pennsylvania,69
Oregon,68
Georgia,68
Michigan,67
Virginia,67
Vermont,66
Utah,66
New York,66
Colorado,65
Wisconsin,64
Iowa,63
Washington,63
Minnesota,63
New Hampshire,63
Kansas,61
Nebraska,61
Alaska,61
North Dakota,59
South Dakota,56
Wyoming,56
Montana,55
Idaho,54
