Category: All categories

Region,gender dysphoria: (2016)
Vermont,100
Utah,95
Oregon,95
Connecticut,80
Idaho,80
West Virginia,80
Washington,75
South Dakota,72
New Hampshire,67
Indiana,67
North Carolina,67
Minnesota,67
Virginia,65
Alaska,65
Ohio,62
Wisconsin,62
Hawaii,62
Colorado,62
District of Columbia,62
Montana,62
Arkansas,62
Alabama,60
Massachusetts,60
South Carolina,60
Nevada,57
Michigan,57
Kentucky,57
Missouri,57
Arizona,57
Oklahoma,57
Maryland,55
New York,55
Illinois,55
Nebraska,55
Tennessee,52
Iowa,52
New Jersey,52
Pennsylvania,52
Mississippi,52
New Mexico,50
Maine,47
Texas,47
Georgia,47
Rhode Island,47
California,45
Kansas,45
Louisiana,42
Delaware,40
Florida,40
Wyoming,40
North Dakota,27
