Category: All categories

Region,gender identity: (2005)
Wyoming,100
Vermont,73
Iowa,56
Alabama,51
Maine,47
South Carolina,44
Indiana,40
West Virginia,39
Rhode Island,38
Utah,34
Colorado,34
Kentucky,34
New Hampshire,31
Arkansas,27
Kansas,25
New Mexico,24
Oregon,23
District of Columbia,23
Connecticut,22
North Carolina,22
Pennsylvania,21
Michigan,18
Oklahoma,17
Massachusetts,16
Ohio,16
Arizona,15
Maryland,15
New York,15
Tennessee,15
Nevada,14
Illinois,14
Minnesota,13
Missouri,13
California,12
Louisiana,12
Washington,11
Texas,10
New Jersey,10
Virginia,7
Florida,6
Georgia,6
Alaska,
Delaware,
Hawaii,
Idaho,
Mississippi,
Montana,
North Dakota,
Nebraska,
South Dakota,
Wisconsin,
