Category: All categories

Region,guilty: (2014)
New York,100
Rhode Island,96
New Jersey,91
Delaware,90
District of Columbia,89
California,88
Vermont,87
West Virginia,87
Pennsylvania,86
Mississippi,86
South Carolina,86
Connecticut,86
Hawaii,86
Arkansas,85
Florida,85
Nevada,84
Massachusetts,83
Louisiana,83
North Dakota,83
Texas,82
Wyoming,82
Idaho,82
New Mexico,80
South Dakota,80
Maryland,80
Alabama,79
Michigan,79
Oklahoma,79
Georgia,79
New Hampshire,77
Kentucky,77
Illinois,77
Alaska,77
Indiana,77
North Carolina,76
Tennessee,73
Kansas,73
Virginia,71
Washington,70
Montana,70
Arizona,69
Missouri,69
Ohio,68
Minnesota,68
Nebraska,68
Wisconsin,66
Maine,66
Iowa,66
Utah,60
Colorado,60
Oregon,47
