Category: All categories

Region,guns: (2015)
Wyoming,100
Utah,97
Idaho,96
West Virginia,94
Indiana,91
Kentucky,89
New Mexico,88
Montana,87
Alaska,87
Oklahoma,83
Iowa,83
Mississippi,81
Arizona,81
North Dakota,80
Nevada,80
Nebraska,80
Tennessee,80
Missouri,79
Arkansas,78
Maine,78
South Dakota,77
Alabama,75
Louisiana,73
South Carolina,73
North Carolina,72
New Hampshire,72
Colorado,72
Illinois,71
Texas,71
Wisconsin,71
Ohio,70
Michigan,70
Minnesota,70
Pennsylvania,69
Vermont,68
Georgia,68
Washington,68
Kansas,64
Florida,63
Delaware,57
California,56
Oregon,55
District of Columbia,54
Connecticut,54
Rhode Island,53
Massachusetts,50
New York,49
Maryland,49
Hawaii,48
New Jersey,48
Virginia,44
