Category: All categories

Region,hanging: (2007)
North Dakota,100
Wyoming,97
North Carolina,93
Delaware,92
Arkansas,91
West Virginia,91
Kentucky,90
Idaho,89
Maine,89
Nebraska,87
Montana,87
Tennessee,87
Rhode Island,86
New Hampshire,85
Utah,85
South Carolina,84
Indiana,84
Mississippi,84
Iowa,83
Oklahoma,83
Colorado,82
Alabama,82
Kansas,82
Alaska,82
South Dakota,81
Louisiana,80
Missouri,80
Wisconsin,79
Vermont,78
Nevada,78
Pennsylvania,77
Connecticut,77
New Mexico,77
Minnesota,75
Oregon,74
Florida,73
Texas,73
New York,73
Arizona,72
Maryland,72
Michigan,71
Ohio,71
Illinois,71
Georgia,69
Virginia,66
Washington,65
New Jersey,65
Massachusetts,65
District of Columbia,63
Hawaii,60
California,59
