Category: All categories

Region,hate myself: (2008)
Rhode Island,100
Maine,86
West Virginia,82
Idaho,77
Kansas,75
Kentucky,73
Montana,58
Wisconsin,57
Connecticut,57
Oklahoma,56
Indiana,55
Massachusetts,52
Hawaii,49
Tennessee,48
Iowa,48
Pennsylvania,44
Ohio,44
Texas,44
Michigan,43
New Jersey,42
Illinois,41
New York,41
Alabama,41
North Carolina,40
Minnesota,38
Washington,38
Colorado,38
Louisiana,38
Utah,38
Georgia,37
Nebraska,37
Oregon,36
Missouri,36
South Carolina,35
Florida,34
Virginia,32
California,31
Arizona,30
Maryland,29
New Hampshire,24
Nevada,16
South Dakota,
District of Columbia,
Alaska,
New Mexico,
North Dakota,
Vermont,
Mississippi,
Delaware,
Arkansas,
Wyoming,
