Category: All categories

Region,hell: (2004)
Montana,100
West Virginia,99
Rhode Island,96
New Hampshire,95
Kansas,94
Mississippi,92
North Dakota,88
Oklahoma,88
Idaho,88
New Mexico,87
Oregon,86
Nevada,85
Kentucky,85
Michigan,83
Maine,83
Hawaii,83
Missouri,83
Alaska,80
Delaware,80
Alabama,80
Arkansas,80
Pennsylvania,79
Indiana,79
Iowa,78
Connecticut,78
South Dakota,78
Ohio,77
Tennessee,76
Washington,75
Utah,74
New Jersey,74
Texas,74
North Carolina,74
Wisconsin,73
Wyoming,73
Florida,71
Illinois,70
Maryland,70
Massachusetts,69
Louisiana,69
Arizona,68
Virginia,68
Minnesota,66
California,66
Georgia,66
South Carolina,66
New York,66
Colorado,63
District of Columbia,63
Vermont,63
Nebraska,59
