Category: All categories

Region,homophobia: (2014)
Vermont,100
Iowa,70
New Hampshire,68
Rhode Island,68
District of Columbia,65
Maine,63
Wisconsin,62
Maryland,62
Arkansas,62
Minnesota,60
Massachusetts,58
Connecticut,56
West Virginia,56
Kentucky,56
Ohio,56
New York,56
Pennsylvania,56
North Carolina,55
California,55
Missouri,53
Illinois,51
Arizona,51
Tennessee,51
New Jersey,51
South Carolina,50
Michigan,50
Nebraska,50
Washington,50
Indiana,48
Kansas,48
Wyoming,
Alabama,46
Georgia,46
South Dakota,44
Hawaii,44
North Dakota,44
Oklahoma,43
Colorado,43
Virginia,43
Louisiana,41
Oregon,41
Utah,41
Idaho,41
Texas,41
Delaware,39
Florida,39
Nevada,39
New Mexico,36
Mississippi,18
Montana,15
Alaska,
