Category: All categories

Region,hope: (2005)
Rhode Island,100
Hawaii,71
North Carolina,68
Arkansas,66
Pennsylvania,64
Georgia,62
Tennessee,62
Michigan,60
Minnesota,60
North Dakota,59
West Virginia,58
New Jersey,58
Alaska,55
South Dakota,54
District of Columbia,53
Indiana,53
Iowa,50
Missouri,49
Vermont,49
South Carolina,49
Alabama,48
Wisconsin,48
Kansas,48
New York,47
Nebraska,47
Maine,47
Mississippi,46
New Hampshire,46
Delaware,46
Maryland,46
Oklahoma,45
Ohio,44
Kentucky,44
Texas,44
Connecticut,43
Massachusetts,43
Louisiana,43
Virginia,42
California,41
Oregon,41
Colorado,41
Arizona,41
Illinois,40
New Mexico,40
Washington,38
Utah,38
Idaho,36
Nevada,35
Wyoming,35
Montana,34
Florida,34
