Category: All categories

Region,hospital visit: (2008)
New Mexico,100
Louisiana,58
Arkansas,48
Mississippi,48
Connecticut,46
Kansas,41
Rhode Island,41
South Carolina,34
Wisconsin,32
North Carolina,30
Kentucky,30
Missouri,27
Massachusetts,27
Indiana,25
Pennsylvania,23
Oregon,23
Illinois,20
Arizona,20
Georgia,20
New York,18
Texas,18
Florida,18
Virginia,16
Michigan,13
Washington,13
California,13
Maryland,13
Tennessee,9
New Jersey,9
District of Columbia,
Alaska,
Alabama,
Colorado,
Delaware,
Hawaii,
Iowa,
Idaho,
Maine,
Minnesota,
Montana,
North Dakota,
Nebraska,
New Hampshire,
Nevada,
Ohio,
Oklahoma,
South Dakota,
Utah,
Vermont,
West Virginia,
Wyoming,
