Category: All categories

Region,how to die: (2018)
Arkansas,100
Idaho,97
South Dakota,96
West Virginia,95
Maine,95
Alaska,94
Indiana,94
Kansas,93
Michigan,92
Wyoming,91
Iowa,89
Kentucky,88
Nebraska,88
North Dakota,86
Missouri,86
Vermont,85
Utah,85
Rhode Island,84
Mississippi,83
Ohio,83
Oklahoma,83
Hawaii,82
New Hampshire,82
Illinois,80
New Mexico,79
Alabama,79
Montana,79
Delaware,78
Wisconsin,78
North Carolina,76
Arizona,76
Pennsylvania,75
Virginia,75
Georgia,75
Washington,74
Minnesota,74
Nevada,73
South Carolina,73
Connecticut,72
California,72
Tennessee,72
Texas,71
New Jersey,71
Louisiana,71
Colorado,69
Oregon,68
Florida,66
Massachusetts,60
New York,60
Maryland,59
District of Columbia,42
