Category: All categories

Region,how to do better in school: (2008)
New Hampshire,
South Dakota,
Kentucky,
Nebraska,
Minnesota,
Utah,
Tennessee,100
Georgia,75
Washington,50
Texas,50
California,<1
Alaska,
Alabama,
Arkansas,
Arizona,
Colorado,
Connecticut,
District of Columbia,
Delaware,
Florida,
Hawaii,
Iowa,
Idaho,
Illinois,
Indiana,
Kansas,
Louisiana,
Massachusetts,
Maryland,
Maine,
Michigan,
Missouri,
Mississippi,
Montana,
North Carolina,
North Dakota,
New Jersey,
New Mexico,
Nevada,
New York,
Ohio,
Oklahoma,
Oregon,
Pennsylvania,
Rhode Island,
South Carolina,
Virginia,
Vermont,
Wisconsin,
West Virginia,
Wyoming,
