Category: All categories

Region,how to do better in school: (2011)
Rhode Island,
North Dakota,
Nevada,
New Mexico,
South Carolina,
Nebraska,
Iowa,
Utah,
Kansas,
Missouri,100
Alabama,100
Indiana,100
North Carolina,100
Connecticut,
Ohio,75
New York,75
Pennsylvania,75
Tennessee,75
Arizona,75
Maryland,75
California,75
Oklahoma,75
Illinois,50
Michigan,50
Florida,50
Massachusetts,
New Jersey,50
Texas,50
Virginia,50
Washington,25
Colorado,25
Minnesota,
Georgia,25
Alaska,
Arkansas,
District of Columbia,
Delaware,
Hawaii,
Idaho,
Kentucky,
Louisiana,
Maine,
Mississippi,
Montana,
New Hampshire,
Oregon,
South Dakota,
Vermont,
Wisconsin,
West Virginia,
Wyoming,
