Category: All categories

Region,i want to die: (2007)
Maine,100
New Hampshire,78
South Dakota,49
Arkansas,44
Indiana,40
Mississippi,39
Connecticut,39
Michigan,37
Delaware,37
Pennsylvania,36
Massachusetts,33
Ohio,32
Washington,32
Wisconsin,32
New Jersey,31
Kentucky,31
Illinois,30
Nevada,30
Kansas,29
Tennessee,28
New York,26
Georgia,25
Arizona,25
Missouri,25
Alabama,25
Colorado,24
California,24
Texas,24
Idaho,23
Florida,23
Nebraska,22
Maryland,22
Virginia,22
Oregon,19
South Carolina,19
Oklahoma,17
District of Columbia,17
North Carolina,17
Louisiana,16
Minnesota,13
Iowa,11
Utah,11
Vermont,
Alaska,
Rhode Island,
New Mexico,
North Dakota,
Montana,
Hawaii,
West Virginia,
Wyoming,
