Category: All categories

Region,illegal drugs: (2019)
North Dakota,
Idaho,100
Iowa,87
New Jersey,83
Arkansas,82
Alabama,82
Montana,82
South Dakota,79
Kansas,79
Louisiana,79
Kentucky,77
Maine,77
West Virginia,75
Indiana,75
Mississippi,75
Nebraska,74
Missouri,70
Pennsylvania,70
Arizona,69
Minnesota,69
Ohio,69
Tennessee,67
New Mexico,67
Wyoming,
Nevada,66
Utah,66
North Carolina,64
Delaware,64
Virginia,62
South Carolina,62
Wisconsin,62
Florida,62
Illinois,62
Michigan,61
Texas,61
Colorado,61
Oklahoma,59
Oregon,59
Georgia,58
Washington,58
Maryland,56
New Hampshire,54
Connecticut,54
California,53
District of Columbia,50
Vermont,
Alaska,
New York,48
Hawaii,45
Rhode Island,45
Massachusetts,40
