Category: All categories

Region,im stupid: (2006)
Delaware,
South Dakota,
Vermont,
Maine,
Rhode Island,
Arkansas,100
Alabama,83
New Hampshire,
Wisconsin,78
Nevada,78
Idaho,
Connecticut,66
Oregon,61
District of Columbia,
Indiana,57
New Jersey,47
Michigan,47
Virginia,42
Oklahoma,40
California,40
Texas,35
Pennsylvania,33
Florida,33
Washington,30
Ohio,30
Georgia,30
Illinois,28
Minnesota,26
Massachusetts,23
Colorado,23
New York,23
Arizona,16
Alaska,
Hawaii,
Iowa,
Kansas,
Kentucky,
Louisiana,
Maryland,
Missouri,
Mississippi,
Montana,
North Carolina,
North Dakota,
Nebraska,
New Mexico,
South Carolina,
Tennessee,
Utah,
West Virginia,
Wyoming,
