Category: All categories

Region,jumping: (2005)
Wyoming,100
Vermont,80
Idaho,78
Utah,72
Montana,72
New Mexico,69
South Dakota,68
Delaware,66
Alaska,64
Arizona,63
Maine,63
Nevada,62
Colorado,61
West Virginia,59
Hawaii,56
Kansas,55
Oklahoma,54
Arkansas,54
Alabama,52
North Carolina,52
North Dakota,52
South Carolina,52
Missouri,51
Connecticut,51
Minnesota,51
Texas,51
Indiana,51
Michigan,51
Tennessee,50
New Hampshire,50
Georgia,50
Louisiana,50
Washington,49
Iowa,49
Pennsylvania,49
Wisconsin,46
New Jersey,46
Oregon,46
Illinois,46
Rhode Island,45
Nebraska,45
California,45
Massachusetts,45
Ohio,43
Mississippi,43
Virginia,43
New York,42
Florida,42
Maryland,40
Kentucky,39
District of Columbia,36
