Category: All categories

Region,kill myself: (2007)
South Dakota,100
Delaware,54
Nebraska,31
Indiana,26
Rhode Island,24
Mississippi,21
Tennessee,21
Washington,20
Arkansas,20
Connecticut,19
Utah,17
Minnesota,17
Missouri,16
Hawaii,16
Massachusetts,15
New Jersey,15
Pennsylvania,15
Oregon,12
North Carolina,12
Ohio,12
Michigan,12
Oklahoma,11
Georgia,11
Texas,11
South Carolina,11
New York,10
Maine,10
Maryland,10
California,10
Illinois,10
Florida,10
Virginia,9
Arizona,9
Kansas,9
Colorado,8
District of Columbia,8
Iowa,7
Wisconsin,6
Wyoming,
Vermont,
Nevada,
New Mexico,
New Hampshire,
Alabama,
North Dakota,
Montana,
Louisiana,
Kentucky,
Idaho,
West Virginia,
Alaska,
