Category: All categories

Region,kill yourself: (2014)
West Virginia,100
Maine,88
Rhode Island,81
Nevada,78
New Hampshire,76
Iowa,76
Delaware,75
Kansas,75
Idaho,74
Alaska,72
Kentucky,72
Indiana,72
Wyoming,72
Missouri,71
Oklahoma,70
Tennessee,70
Louisiana,69
Utah,67
Ohio,67
Colorado,67
Washington,67
Michigan,66
Nebraska,66
South Carolina,65
Illinois,65
Pennsylvania,65
Connecticut,64
Arizona,63
North Carolina,63
Minnesota,63
North Dakota,63
New Jersey,62
Georgia,62
Massachusetts,62
South Dakota,62
Maryland,59
Florida,59
Wisconsin,58
Montana,57
Alabama,57
Texas,56
New York,55
Vermont,55
Mississippi,54
Arkansas,53
Hawaii,51
New Mexico,50
California,48
Virginia,46
District of Columbia,46
Oregon,37
