Category: All categories

Region,lesbian: (2005)
Michigan,100
Maine,97
South Dakota,95
Montana,94
Wyoming,94
North Dakota,93
Vermont,93
Nebraska,91
New Hampshire,90
Alaska,89
Kansas,89
Utah,88
Nevada,87
Pennsylvania,87
Florida,84
New Mexico,84
Ohio,83
Rhode Island,83
Mississippi,82
West Virginia,82
Missouri,82
Connecticut,82
California,81
Indiana,81
Hawaii,79
Iowa,79
Oklahoma,79
Arkansas,79
Illinois,79
Washington,79
Idaho,78
Georgia,78
Massachusetts,78
New York,78
Wisconsin,77
Tennessee,77
New Jersey,76
Texas,75
South Carolina,74
Louisiana,74
Colorado,73
Alabama,73
Virginia,72
North Carolina,71
Oregon,71
Delaware,71
Kentucky,71
Arizona,69
Minnesota,65
Maryland,62
District of Columbia,59
