Category: All categories

Region,lonely: (2012)
Vermont,100
Alaska,97
Wyoming,94
Hawaii,93
Maine,88
Montana,88
New Mexico,87
Rhode Island,86
New York,86
California,86
Idaho,82
Washington,81
Virginia,80
Pennsylvania,80
Colorado,80
Oregon,80
Massachusetts,79
West Virginia,78
New Jersey,75
Texas,75
Arizona,74
Nevada,74
New Hampshire,74
Florida,74
District of Columbia,74
Maryland,73
Kansas,73
Illinois,73
Arkansas,73
Utah,72
Michigan,72
Kentucky,72
North Carolina,71
Ohio,71
Iowa,70
North Dakota,70
Minnesota,70
Oklahoma,70
Connecticut,69
Nebraska,69
South Carolina,69
Mississippi,69
Louisiana,68
Georgia,68
South Dakota,67
Delaware,66
Indiana,65
Alabama,65
Tennessee,65
Missouri,65
Wisconsin,64
