Category: All categories

Region,marijuana: (2011)
Montana,100
Michigan,81
Colorado,76
Washington,72
California,70
Arizona,67
Oregon,66
Maine,63
Rhode Island,60
Vermont,58
New Mexico,52
Alaska,52
Nevada,50
Hawaii,49
Idaho,46
West Virginia,46
Indiana,45
New Hampshire,45
Connecticut,45
Delaware,45
Illinois,43
Kentucky,43
Wyoming,42
South Dakota,42
Massachusetts,41
Missouri,41
Ohio,41
Iowa,41
New York,41
Florida,41
Wisconsin,41
Texas,40
Minnesota,40
Pennsylvania,40
North Dakota,39
Arkansas,39
Nebraska,38
Maryland,37
New Jersey,37
Kansas,37
Virginia,37
Georgia,36
North Carolina,36
Mississippi,34
Tennessee,34
District of Columbia,34
South Carolina,33
Louisiana,32
Alabama,30
Oklahoma,30
Utah,29
