Category: All categories

Region,mental health: (2017)
Minnesota,100
Vermont,92
Montana,89
Iowa,80
Kansas,78
Oregon,73
New Hampshire,73
Colorado,71
Mississippi,71
Alaska,68
Oklahoma,67
Washington,67
Alabama,67
New York,66
Wisconsin,65
Tennessee,65
Maryland,65
Massachusetts,65
South Carolina,64
Maine,63
Michigan,62
Missouri,61
North Dakota,61
Utah,61
District of Columbia,60
Idaho,59
Virginia,59
Pennsylvania,58
Louisiana,58
Connecticut,57
Indiana,57
Rhode Island,56
South Dakota,56
Wyoming,56
Nebraska,54
Delaware,53
Ohio,53
West Virginia,53
California,51
Nevada,49
North Carolina,49
New Jersey,48
New Mexico,47
Georgia,46
Arkansas,45
Kentucky,45
Illinois,44
Florida,43
Arizona,41
Hawaii,39
Texas,34
