Category: All categories

Region,miss my ex: (2011)
Alaska,
Delaware,
Alabama,100
Tennessee,90
New York,81
District of Columbia,
South Carolina,68
Louisiana,68
Rhode Island,
Utah,
West Virginia,
Georgia,68
California,63
Texas,63
Arizona,63
Virginia,59
Illinois,59
New Jersey,59
Missouri,54
Florida,54
Minnesota,54
Michigan,54
Massachusetts,50
Maryland,50
Pennsylvania,50
Arkansas,
Mississippi,
Washington,45
Ohio,45
New Mexico,
Idaho,
North Carolina,45
Iowa,45
Nevada,45
Kansas,
Kentucky,40
Oregon,40
Wisconsin,36
Indiana,36
Oklahoma,
Hawaii,
Colorado,22
Connecticut,9
Maine,
Montana,
North Dakota,
Nebraska,
New Hampshire,
South Dakota,
Vermont,
Wyoming,
