Category: All categories

Region,molestation: (2006)
Arkansas,100
Delaware,85
West Virginia,74
Georgia,73
South Dakota,61
Alabama,56
Washington,53
California,51
Kentucky,50
Maine,49
Missouri,49
Kansas,49
Arizona,48
North Carolina,47
Indiana,47
Oklahoma,46
Rhode Island,45
Louisiana,44
Mississippi,43
North Dakota,43
New Hampshire,42
South Carolina,41
New Mexico,39
Texas,39
Pennsylvania,38
Michigan,38
Ohio,37
Illinois,36
New Jersey,36
Vermont,36
Tennessee,36
Florida,35
Utah,35
Colorado,34
Nevada,34
Nebraska,33
Minnesota,33
Virginia,31
Maryland,31
Massachusetts,29
New York,29
District of Columbia,28
Idaho,27
Wisconsin,26
Iowa,25
Oregon,25
Connecticut,23
Alaska,18
Hawaii,14
Montana,
Wyoming,
