Category: All categories

Region,moving: (2005)
New York,100
District of Columbia,99
Nevada,97
California,94
Massachusetts,90
Maryland,89
New Mexico,88
Colorado,88
Illinois,88
Oregon,87
Arizona,87
Hawaii,86
Florida,86
New Hampshire,84
Idaho,84
Texas,82
Virginia,81
Rhode Island,81
Minnesota,81
Utah,80
Missouri,80
Connecticut,79
Louisiana,79
North Carolina,78
Delaware,78
Tennessee,78
Washington,76
Kansas,76
Michigan,75
New Jersey,74
Georgia,73
Vermont,73
Wisconsin,73
Pennsylvania,72
Indiana,72
Nebraska,72
Wyoming,72
Iowa,71
Oklahoma,71
Mississippi,71
Ohio,71
Alaska,69
Alabama,68
Kentucky,67
North Dakota,66
Arkansas,66
West Virginia,64
South Carolina,63
Montana,63
South Dakota,58
Maine,58
