Category: All categories

Region,noose: (2006)
Wyoming,100
West Virginia,84
Alaska,41
Kansas,37
Idaho,36
Iowa,35
Nevada,32
Oregon,32
Oklahoma,30
Vermont,30
Connecticut,29
Pennsylvania,29
New Mexico,28
Mississippi,27
Arkansas,26
Colorado,25
Arizona,24
Kentucky,24
New Jersey,23
Ohio,22
Alabama,22
Missouri,22
Massachusetts,22
Utah,21
Maryland,21
Florida,21
California,21
Illinois,20
District of Columbia,20
Washington,19
Rhode Island,19
Hawaii,18
New York,18
Texas,18
Montana,18
Michigan,18
Maine,18
Nebraska,18
Tennessee,18
Indiana,18
Minnesota,17
Delaware,17
North Carolina,16
Wisconsin,16
Georgia,16
South Carolina,14
Louisiana,13
Virginia,13
North Dakota,
New Hampshire,
South Dakota,
