Category: All categories

Region,ocd: (2015)
Rhode Island,100
Utah,94
Connecticut,90
Maine,88
West Virginia,88
New Hampshire,88
Vermont,88
Massachusetts,85
Pennsylvania,82
Arkansas,81
Illinois,81
Mississippi,80
New Jersey,80
Kentucky,79
South Dakota,79
New York,79
Wisconsin,78
New Mexico,78
Iowa,77
Oklahoma,75
Maryland,75
Indiana,75
Montana,75
Idaho,74
Hawaii,74
California,74
Minnesota,73
Wyoming,72
Nebraska,72
North Dakota,72
Nevada,71
Ohio,71
Delaware,70
Alaska,70
Kansas,70
Alabama,70
Louisiana,69
Arizona,69
Tennessee,68
South Carolina,68
Missouri,68
District of Columbia,67
Texas,67
Oregon,66
Florida,65
Colorado,65
North Carolina,63
Michigan,63
Washington,62
Georgia,59
Virginia,58
