Category: All categories

Region,painless death: (2019)
Maine,
Montana,
South Dakota,
New Mexico,
Idaho,
West Virginia,
Kansas,
Mississippi,
Oklahoma,
Nebraska,
Wisconsin,
Michigan,
Nevada,
Maryland,
Oregon,
Illinois,100
Tennessee,
Alabama,
Missouri,
Washington,
Ohio,100
Arizona,
California,100
Colorado,
Minnesota,
New York,100
Kentucky,
Florida,100
North Carolina,
Utah,
Massachusetts,
Georgia,
New Jersey,100
Virginia,
Texas,50
Louisiana,
Pennsylvania,
Indiana,
Connecticut,
Alaska,
Arkansas,
District of Columbia,
Delaware,
Hawaii,
Iowa,
North Dakota,
New Hampshire,
Rhode Island,
South Carolina,
Vermont,
Wyoming,
