Category: All categories

Region,parents divorce: (2010)
Wyoming,
New Mexico,
Maine,
Alaska,
Nebraska,100
Iowa,100
Idaho,97
Indiana,95
Mississippi,93
Kentucky,89
Oklahoma,89
Kansas,87
Connecticut,87
South Carolina,82
South Dakota,
Utah,78
Arizona,74
Ohio,74
New Jersey,72
Florida,72
Delaware,
Georgia,68
New Hampshire,
Michigan,68
Illinois,68
Missouri,65
Oregon,65
Tennessee,63
Colorado,63
Nevada,61
Pennsylvania,61
Washington,59
New York,59
Vermont,
Massachusetts,57
Rhode Island,57
North Carolina,57
Texas,55
Alabama,51
Minnesota,48
Maryland,46
Arkansas,46
District of Columbia,
Hawaii,38
Wisconsin,36
Louisiana,36
Virginia,31
California,31
Montana,
North Dakota,
West Virginia,
